Date,User,Likes,Follower number,Favorite number,Thankfulness number
20/07/2019,潘少,905,1146,1196,72
21/07/2019,潘少,907,1198,1199,72
22/07/2019,潘少,908,1208,1202,72
23/07/2019,潘少,910,1248,1202,72
24/07/2019,潘少,915,1279,1216,72
25/07/2019,潘少,917,1309,1225,72
26/07/2019,潘少,919,1355,1237,72
27/07/2019,潘少,920,1356,1247,72
28/07/2019,潘少,923,1357,1266,73
29/07/2019,潘少,929,1357,1295,73
30/07/2019,潘少,939,1362,1371,79
31/07/2019,潘少,969,1366,1505,89
01/08/2019,潘少,1077,1378,1844,111
02/08/2019,潘少,1116,1384,1984,118
03/08/2019,潘少,1128,1487,2025,119
04/08/2019,潘少,1187,1623,2092,123
05/08/2019,潘少,1206,1781,2130,128
06/08/2019,潘少,1227,1918,2170,134
07/08/2019,潘少,1242,2013,2211,135
08/08/2019,潘少,1255,2090,2262,140
09/08/2019,潘少,1263,2190,2308,143
10/08/2019,潘少,1273,2298,2354,144
11/08/2019,潘少,1287,2412,2436,149
12/08/2019,潘少,1303,2567,2534,155
13/08/2019,潘少,1381,2671,2732,171
14/08/2019,潘少,1445,2762,2887,184
15/08/2019,潘少,1484,2875,2970,193
16/08/2019,潘少,1507,2972,3030,196
17/08/2019,潘少,1527,3099,3105,199
18/08/2019,潘少,1544,3247,3158,205
19/08/2019,潘少,1559,3301,3199,208
20/08/2019,潘少,1575,3301,3234,212
21/08/2019,潘少,1586,3302,3269,215
22/08/2019,潘少,1598,3306,3300,217
23/08/2019,潘少,1607,3306,3324,217
24/08/2019,潘少,1616,3308,3349,219
25/08/2019,潘少,1621,3306,3366,219
26/08/2019,潘少,1625,3307,3389,220
27/08/2019,潘少,1627,3308,3400,222
28/08/2019,潘少,1635,3308,3435,223
29/08/2019,潘少,1644,3308,3458,225
30/08/2019,潘少,1647,3308,3485,226
31/08/2019,潘少,1651,3309,3513,227
01/09/2019,潘少,1655,3311,3528,230
02/09/2019,潘少,1663,3312,3565,235
03/09/2019,潘少,1677,3315,3643,240
04/09/2019,潘少,1689,3316,3691,245
05/09/2019,潘少,1692,3317,3708,247
06/09/2019,潘少,1715,3321,3748,250
07/09/2019,潘少,1732,3322,3824,254
08/09/2019,潘少,1754,3323,3880,260
09/09/2019,潘少,1779,3325,4024,275
10/09/2019,潘少,1806,3328,4187,279
11/09/2019,潘少,1850,3329,4355,288
12/09/2019,潘少,1878,3330,4432,298
13/09/2019,潘少,1885,3333,4473,304
14/09/2019,潘少,1901,3335,4529,308
15/09/2019,潘少,1913,3336,4588,315
